X,Y,OBJECTID,stop_id,stop_name,stop_desc,stop_lat,stop_lon,POINT_X,POINT_Y,trip_id,stop_sequence,Time_Hour,offset,Notes,Trash,Sign,MPH,time_point,Arrive,Depart,Jurisdiction,Pullout,trip_direction,location_type,STOPTYPE,ROTATION
-108.552471892,39.094001055,26,S372,12th Street at Mesa Manor Care Center,Bench,39.09400106,-108.55247189,711668.35752665,4330059.92406399,RT1,39,:45-:55 ,W, ,No,Yes,35,No,,,City,No,In,0,Intermediate,-90
-108.552480301,39.0812870180001,27,S89,12th Street north of Elm Avenue (Colorado Mesa University),,39.08128702,-108.5524803,711705.66157462,4328648.72629124,RT1,42,:45-:55 ,W,University removed bench?,No,Yes,30,No,,,City,No,In,0,Intermediate,-90
-108.550769059,39.102661562,28,S465,Horizon Drive at Safeway,Bench/Shelter,39.10266156,-108.55076906,711789.71099516,4331025.1587147,RT1,36,:45-:55 ,NW, ,Yes,Yes,30,No,,,City,Yes,In,0,Intermediate,-30
-108.563595124,39.0632116200001,29,S87,Downtown Transfer Facility (6th Street and South Avenue) ,Bench/Shelter,39.06321162,-108.56359512,710797.93582667,4326616.62780403,RT1,1,:15,0,Transfer Station,Yes,Yes,30,Yes,1899/12/30 05:15:01+00,1899/12/30 05:15:01+00,City,Yes,Out,1,Transfer,0
-108.536700698,39.1241466430001,30,S151,Social Security Office<br/><b>Only Served<br/> Monday Tuesday Thursday Friday<br/>8:00 am - 5:00 pm<br/>Wednesday<br/>8:00 am - 1:00 pm</b>,Bench,39.12414664,-108.5367007,712941.6642577,4333442.79937092,RT1,29,:35-:45 ,W, ,No,Yes,40,No,,,City,No,In,0,Intermediate,-90
-108.563595124,39.0632116200001,31,S87,Downtown Transfer Facility (6th Street and South Avenue),Bench/Shelter,39.06321162,-108.56359512,710797.93582667,4326616.62780403,RT1,54,:05,0,Transfer Station,Yes,Yes,30,Yes,1899/12/30 06:05:01+00,1899/12/30 06:05:01+00,City,Yes,In,1,Transfer,0
-108.470571449,39.0918896950001,32,S3,Patterson Road east of Orchard Run Drive,Bench,39.0918897,-108.47057145,718758.77666807,4330019.71035229,RT2,5,:45 - :55,N, rocks and no cutout for ada accessibility , ,Yes,45,No,,,County,No,Out,0,Intermediate,0
-108.473978991,39.091911065,33,S54,Patterson Road east of Peace Drive,No,39.09191107,-108.47397899,718463.96836475,4330013.8775571,RT2,6,:45 - :55,N, , ,Yes,45,No,,,County,No,Out,0,Intermediate,0
-108.478981131,39.0919144760001,34,S5,Patterson Road west of 31 Road,Bench,39.09191448,-108.47898113,718031.28787366,4330002.23201944,RT2,7,:45 - :55,N,dirt preventing safe ADA accessibility , ,Yes,45,No,,,County,No,Out,0,Intermediate,0
-108.487578604,39.091898164,35,S6,Patterson Road west of Mesa Valley Drive,Bench,39.09189816,-108.4875786,717287.68351481,4329979.81064037,RT2,9,:45 - :55,N, dirt preventing safe ADA accessibility , ,Yes,45,No,,,City,No,Out,0,Intermediate,0
-108.490494003,39.0919008130001,36,S60,Patterson Road west of Round Table Drive,No,39.09190081,-108.490494,717035.50270288,4329973.13149846,RT2,10,:45 - :55,N, , ,Yes,45,No,,,City,No,Out,0,Intermediate,0
-108.497408463,39.0919133030001,37,S91,Patterson Road west of 30 Road,Bench,39.0919133,-108.49740846,716437.38627207,4329958.01207364,RT2,11,:45 - :55,N, grass preventing safe ADA accessibility , ,Yes,45,No,,,City,No,Out,0,Intermediate,0
-108.501242487,39.091908774,38,S9,Patterson Road east of Broken Spoke Road,Bench,39.09190877,-108.50124249,716105.76988899,4329948.3767206,RT2,12,:45 - :55,N, rocks preventing safe ADA accessibility , ,Yes,45,No,,,City,No,Out,0,Intermediate,0
-108.49984606,39.0916846220001,39,S10,Patterson Road east of Placer Street,Bench,39.09168462,-108.49984606,716227.24111836,4329926.82176405,RT2,47,:25 - :35,S, , ,Yes,45,No,,,City,No,In,0,Intermediate,180
-108.495950014,39.091687058,40,S12,Patterson Road east of 30 Road,Bench/Shelter,39.09168706,-108.49595001,716564.22979481,4329936.37786524,RT2,48,:25 - :35,S, ,Yes,Yes,45,No,,,City,No,In,0,Intermediate,180
-108.491518271,39.0917031160001,41,S13,Patterson Road west of McMullin Drive,No,39.09170312,-108.49151827,716947.51303993,4329948.74020755,RT2,49,:25 - :35,S, , ,Yes,45,No,,,City,No,In,0,Intermediate,180
-108.487201574,39.091682674,42,S14,Patterson Road west of Shoshone Street,Bench,39.09168267,-108.48720157,717320.95728666,4329956.79471264,RT2,50,:25 - :35,S, , ,Yes,45,No,,,City,No,In,0,Intermediate,180
-108.478723306,39.0916601210001,43,S15,Patterson Road east of 31 Road ,Bench,39.09166012,-108.47872331,718054.37281806,4329974.61902161,RT2,52,:25 - :35,S, , ,Yes,45,No,,,County,No,In,0,Intermediate,180
-108.47425832,39.0916379860001,44,S16,Patterson Road at Long Family Memorial Park,Bench/Shelter,39.09163799,-108.47425832,718440.65029433,4329982.89502096,RT2,53,:25 - :35,S, , ,Yes,45,No,,,City,Yes,In,0,Intermediate,180
-108.469981765,39.09166951,45,S17,Patterson Road west of 31 ½ Road,Bench/Shelter,39.09166951,-108.46998176,718810.46351835,4329996.69178945,RT2,54,:25 - :35,S, ,Yes,Yes,45,No,,,City,No,In,0,Intermediate,180
-108.46202458,39.0916715390001,46,S18,Patterson Road east of Conestoga Circle,Bench/Shelter,39.09167154,-108.46202458,719498.73300259,4330016.12399431,RT2,56,:25 - :35,S,Looks like there used to be a bench here,Yes,Yes,45,No,,,County,No,In,0,Intermediate,180
-108.459574766,39.0894040360001,47,S19,32 Road south of Patterson Road (Clifton Library),Bench/Shelter,39.08940404,-108.45957477,719717.67686638,4329770.36718171,RT2,57,:25 - :35,W, ,Yes,Yes,30,No,,,County,No,In,0,Intermediate,-90
-108.505495012,39.091698497,48,S206,Patterson Road east of 29 ½ Road,Bench/Shelter,39.0916985,-108.50549501,715738.58207469,4329914.92401138,RT2,46,:25 - :35,S, ,Yes,Yes,45,No,,,City,No,In,0,Intermediate,180
-108.511482543,39.09191479,49,S208,Patterson Road west of Cris Mar Drive,Bench,39.09191479,-108.51148254,715220.02200924,4329924.72141753,RT2,15,:45 - :55,N, dirt preventing safe ADA accessibility , ,Yes,45,No,,,County,No,Out,0,Intermediate,0
-108.515615098,39.0919410880001,50,S209,Patterson Road west of 29 Road (Safeway),Bench/Shelter,39.09194109,-108.5156151,714862.49082086,4329917.85266644,RT2,16,:45 - :55,N, ,Yes,Yes,45,No,,,City,No,Out,0,Intermediate,0
-108.514411828,39.0916955980001,51,S210,Patterson Road east of 29 Road (Safeway),Bench/Shelter,39.0916956,-108.51441183,714967.31514286,4329893.45285608,RT2,45,:25 - :35,S, ,Yes,Yes,45,No,,,City,No,In,0,Intermediate,180
-108.520628842,39.091901787,52,S2,Patterson Road east of 28 ¾ Road,No,39.09190179,-108.52062884,714428.93926602,4329901.63760385,RT2,17,:45 - :55,N, , ,Yes,45,No,,,City,No,Out,0,Intermediate,0
-108.539209527,39.091891506,53,S213,Patterson Road west of Beechwood Street,Bench,39.09189151,-108.53920953,712821.81064381,4329856.77957417,RT2,20,:45 - :55,N, grass preventing safe ADA accessibility , ,Yes,45,No,,,City,No,Out,0,Intermediate,0
-108.533376339,39.0919252090001,54,S230,Patterson Road east of 28 Road,Bench,39.09192521,-108.53337634,713326.25748626,4329874.20934077,RT2,19,:45 - :55,N, , ,Yes,45,No,,,City,No,Out,0,Intermediate,0
-108.530719849,39.0919293430001,55,S231,Patterson Road west of 28 1/4 Road (Village Park Apartments),Bench,39.09192934,-108.53071985,713556.02130081,4329880.91304364,RT2,18,:45 - :55,N, , ,Yes,45,No,,,City,No,Out,0,Intermediate,0
-108.529999548,39.091701378,56,S232,Patterson Road west of 28 ¼ Road (Mantey Heights),Bench/Shelter,39.09170138,-108.52999955,713619.0128685,4329857.30473189,RT2,42,:25 - :35,S, ,Yes,Yes,45,No,,,City,No,In,0,Intermediate,180
-108.526808264,39.0917026450001,57,S233,Patterson Road east of Grand Cascade Way,No,39.09170265,-108.52680826,713895.0439657,4329864.95847728,RT2,43,:25 - :35,S, , ,Yes,45,No,,,City,No,In,0,Intermediate,180
-108.518477167,39.091692118,58,S234,Patterson Road east of West Indian Creek Drive,No,39.09169212,-108.51847717,714615.6874038,4329883.44931895,RT2,44,:25 - :35,S, , ,Yes,45,No,,,City,No,In,0,Intermediate,180
-108.547855946,39.093327308,59,S268,15th Street south of Hermosa Avenue (Larchwood),Bench,39.09332731,-108.54785595,712069.62585768,4329995.913654,RT2,22,:55 - :05,W, , ,Yes,25,No,,,City,No,Out,0,Intermediate,-90
-108.465620348,39.091673552,60,S347,Patterson Road west of Ford Street,Bench,39.09167355,-108.46562035,719187.70212344,4330007.66056562,RT2,55,:25 - :35,S, , ,Yes,45,No,,,County,No,In,0,Intermediate,180
-108.588431292,39.091801086,61,S377,Patterson Road east of 25 Road,Bench,39.09180109,-108.58843129,708564.60083752,4329732.52595989,RT2,32,:15 - :25,S, no cut out for ADA accessibility , ,Yes,40,No,,,City,No,In,0,Intermediate,180
-108.57934861,39.0917481340001,62,S388,Patterson Road east of 25 ½ Road,Bench,39.09174813,-108.57934861,709350.36997598,4329747.55081194,RT2,34,:15 - :25,S, , ,Yes,40,No,,,City,No,In,0,Intermediate,180
-108.571685596,39.091717712,63,S379,Patterson Road west of 1st Street,Bench,39.09171771,-108.5716856,710013.27904991,4329761.87040929,RT2,35,:15 - :25,S, ,Yes,Yes,40,No,,,City,No,In,0,Intermediate,180
-108.564538525,39.0917120870001,64,S380,Patterson Road at St. Mary's Hospital (west of entrance) ,Bench,39.09171209,-108.56453853,710631.48855402,4329777.80142347,RT2,36,:15 - :25,S, ,Yes,Yes,35,No,,,City,No,In,0,Intermediate,180
-108.55480818,39.0917458480001,65,S381,Patterson Road west of 12th Street,No,39.09174585,-108.55480818,711473.02440641,4329804.16607754,RT2,38,:15 - :25,S, , ,Yes,35,No,,,City,No,In,0,Intermediate,180
-108.543842175,39.093965328,66,S382,Hermosa Avenue west of 27 ½ Road (The Commons),No,39.09396533,-108.54384218,712414.87858546,4330076.11281133,RT2,21,:55,N, , ,Yes,25,Yes,1899/12/30 05:55:01+00,1899/12/30 05:55:01+00,City,No,Out,0,Intermediate,0
-108.562175644,39.091970958,67,S383,Patterson Road west of 7th Street (St. Mary's Hospital),Bench,39.09197096,-108.56217564,710835.09707172,4329812.01845513,RT2,25,:55 - :05,N, , ,Yes,35,No,,,City,Yes,Out,0,Intermediate,0
-108.571519423,39.0919969190001,68,S384,Patterson Road west of 1st Street,Bench,39.09199692,-108.57151942,710026.82358861,4329793.24493582,RT2,26,:55 - :05,N, ,Yes,Yes,40,No,,,City,No,Out,0,Intermediate,0
-108.579354851,39.0919984880001,69,S385,Patterson Road east of 25 ½ Road,No,39.09199849,-108.57935485,709349.08949347,4329775.32406322,RT2,27,:55 - :05,N, , ,Yes,40,No,,,City,No,Out,0,Intermediate,0
-108.586220659,39.092002171,70,S386,Patterson Road east of Foresight Circle,No,39.09200217,-108.58622066,708755.21758987,4329759.92513885,RT2,28,:55 - :05,N, , ,Yes,40,No,,,City,No,Out,0,Intermediate,0
-108.593273466,39.0920265990001,71,S387,Patterson Road at Patterson Village Square,No,39.0920266,-108.59327347,708145.11083338,4329746.4451094,RT2,29,:55 - :05,N, , ,Yes,40,No,,,City,No,Out,0,Intermediate,0
-108.505147002,39.091907495,72,S207,Patterson Road east of 29 ½ Road,Bench,39.09190749,-108.505147,715768.0465507,4329938.94862291,RT2,13,:45 - :55,N, dirt preventing safe ADA accessibility , ,Yes,45,No,,,City,No,Out,0,Intermediate,0
-108.541862511,39.091692433,73,S450,Patterson Road east of 27 ½ Road,Bench/Shelter,39.09169243,-108.54186251,712592.93596588,4329828.4685676,RT2,41,:25,S, ,Yes,Yes,45,Yes,1899/12/30 06:25:01+00,1899/12/30 06:25:01+00,City,No,In,0,Intermediate,180
-108.507240455,39.0919174640001,74,S466,Patterson Road west of 29 ½ Road (Maverick),No,39.09191746,-108.50724046,715586.93964207,4329935.08223055,RT2,14,:45 - :55,N, , ,Yes,45,No,,,City,No,Out,0,Intermediate,0
-108.459892487,39.086014978,75,S82,Clifton Transfer Station (32 Road and I-70 Business Loop) ,Bench/Shelter,39.08601498,-108.45989249,719700.71578586,4329393.42877605,RT2,1,:45,0,Transfer Station,Yes,Yes,25,Yes,1899/12/30 05:45:01+00,1899/12/30 05:45:01+00,County/CDOT,Yes,Out,1,Transfer,0
-108.597854873,39.0929541260001,76,S478,West Transfer Facility,Bench/Shelter,39.09295413,-108.59785487,707746.11778253,4329838.90179178,RT2,30,:05 - :15,0,Transfer Station,Yes,Yes,30,Yes,1899/12/30 06:05:01+00,1899/12/30 06:15:01+00,City,No,In,1,Transfer,0
-108.483687933,39.0919207310001,77,S487,Patterson Road west of Lodgepole Street,No,39.09192073,-108.48368793,717624.1449288,4329991.63385167,RT2,8,:45 - :55,N, , ,Yes,45,No,,,County,No,Out,0,Intermediate,0
-108.482675978,39.0916779830001,78,S486,Patterson Road at Cross Orchards Historic Farm,No,39.09167798,-108.48267598,717712.42279306,4329967.11614317,RT2,51,:25 - :35,S, , ,Yes,45,No,,,County,No,In,0,Intermediate,180
-108.459407361,39.090480369,79,S59,32 Road south of Patterson Road (Clifton Library) ,No,39.09048037,-108.45940736,719728.81502516,4329890.24025838,RT2,2,:45 - :55,E, , ,Yes,30,No,,,County,No,Out,0,Intermediate,90
-108.461771201,39.0919257410001,80,S11,Patterson Road west of 32 Road,No,39.09192574,-108.4617712,719519.86099004,4330044.95187376,RT2,3,:45 - :55,N, , ,Yes,45,No,,,County,No,Out,0,Intermediate,0
-108.464770044,39.0919045410001,81,S25,Patterson Road west of Entrada Street,No,39.09190454,-108.46477004,719260.53536045,4330035.35227986,RT2,4,:45 - :55,N, , ,Yes,45,No,,,County,No,Out,0,Intermediate,0
-108.459892487,39.086014978,82,S82,Clifton Transfer Station (32 Road and I-70 Business Loop),Bench/Shelter,39.08601498,-108.45989249,719700.71578586,4329393.42877605,RT2,58,:35,0,Transfer Station,Yes,Yes,25,Yes,1899/12/30 06:35:01+00,1899/12/30 06:35:01+00,County/CDOT,Yes,In,1,Transfer,0
-108.461886068,39.0859184400001,83,S20,E ½ Road west of 32 Road (Coronado Plaza),No,39.08591844,-108.46188607,719528.5617219,4329377.89192249,RT3,26,:45 - :55,N, , ,Yes,25,No,,,County, ,In,0,Intermediate,-18
-108.481410091,39.0846189380001,84,S21,E ½ Road west of 31 Road,Bench,39.08461894,-108.48141009,717843.64849599,4329186.63394397,RT3,28,:45 - :55,N, dirt preventing safe ADA accessibility , ,Yes,35,No,,,County, ,In,0,Intermediate,0
-108.484247612,39.0846041520001,85,S22,E ½ Road east of Sun Valley Drive,No,39.08460415,-108.48424761,717598.23198919,4329178.18951772,RT3,29,:45 - :55,N, , ,Yes,35,No,,,County, ,In,0,Intermediate,0
-108.488787416,39.0846231670001,86,S23,E ½ Road west of Grand Valley Drive,No,39.08462317,-108.48878742,717205.4543275,4329169.431383,RT3,30,:45 - :55,N, , ,Yes,35,No,,,County, ,In,0,Intermediate,0
-108.492457688,39.084623852,87,S24,E ½ Road and Peachwood Drive,Bench,39.08462385,-108.49245769,716887.9528304,4329160.73483572,RT3,31,:45 - :55,N, dirt preventing safe ADA accessibility , ,Yes,35,No,,,County, ,In,0,Intermediate,0
-108.494115611,39.084495616,88,S26,Orchard Avenue east of 30 Road,Bench,39.08449562,-108.49411561,716744.92587292,4329142.54278964,RT3,20,:25 - :35,S, dirt preventing safe ADA accessibility , ,Yes,35,No,,,County, ,Out,0,Intermediate,180
-108.487553856,39.084485552,89,S27,E ½ Road East of Grand Valley Drive,No,39.08448555,-108.48755386,717312.58692847,4329157.10813564,RT3,21,:25 - :35,S, , ,Yes,35,No,,,County, ,Out,0,Intermediate,180
-108.484089231,39.0844821790001,90,S28,E ½ Road east of East Valley Drive,Bench,39.08448218,-108.48408923,717612.30786411,4329165.03074881,RT3,22,:25 - :35,S, dirt preventing safe ADA accessibility , ,Yes,35,No,,,County, ,Out,0,Intermediate,180
-108.480706869,39.0844864600001,91,S29,E ½ Road east of Hoover Court,Bench,39.08448646,-108.48070687,717904.88920395,4329173.61687986,RT3,23,:25 - :35,S, dirt preventing safe ADA accessibility , ,Yes,35,No,,,County, ,Out,0,Intermediate,180
-108.474355324,39.0846471020001,92,S30,E ½ Road west of Warrior Way (Long Family Memorial Park and Walmart),Bench/Shelter,39.0846471,-108.47435532,718453.84039248,4329206.70793226,RT3,27,:45 - :55,N, , ,Yes,35,No,,,County, ,In,0,Intermediate,0
-108.498516341,39.084697535,93,S81,Orchard Avenue west of 30 Road,No,39.08469753,-108.49851634,716363.61997008,4329154.46002561,RT3,32,:45 - :55,N, , ,Yes,35,No,,,County, ,In,0,Intermediate,0
-108.498933728,39.0845306890001,94,S78,Orchard Avenue west of Hall Avenue,No,39.08453069,-108.49893373,716328.02376483,4329134.9466408,RT3,19,:25 - :35,S, , ,Yes,35,No,,,County, ,Out,0,Intermediate,180
-108.504170108,39.084506639,95,S344,Orchard Avenue east of 29 ½ Road,No,39.08450664,-108.50417011,715875.12056275,4329119.81597875,RT3,18,:25 - :35,S, , ,Yes,35,No,,,County, ,Out,0,Intermediate,180
-108.504169631,39.084614829,96,S80,Orchard Avenue east of 29 ½ Road,No,39.08461483,-108.50416963,715874.8318701,4329131.82553504,RT3,33,:45 - :55,N, , ,Yes,35,No,,,County, ,In,0,Intermediate,0
-108.510828138,39.08465528,97,S83,Orchard Avenue west of 29 ¼ Road (Bookcliff Middle School),No,39.08465528,-108.51082814,715298.71155068,4329120.50760835,RT3,34,:45 - :55,N, , ,Yes,35,No,,,County, ,In,0,Intermediate,0
-108.514253586,39.084690505,98,S85,Orchard Avenue east of 29 Road,Bench,39.0846905,-108.51425359,715002.28491346,4329116.30153641,RT3,35,:45 - :55,N,Mesa County owns the bench: basic concrete without a pad or back rest, ,Yes,35,No,,,City, ,In,0,Intermediate,0
-108.513200966,39.0844713380001,99,S86,Orchard Avenue east of 29 Road,Bench,39.08447134,-108.51320097,715094.00816681,4329094.46803506,RT3,16,:25 - :35,S,Mesa County owns the bench: basic concrete without a pad or back rest, ,Yes,35,No,,,City, ,Out,0,Intermediate,180
-108.531402279,39.0847605480001,100,S129,Orchard Avenue east of Court Road,No,39.08476055,-108.53140228,713518.62298498,4329083.61440182,RT3,39,:55 - :05,N, , ,Yes,40,No,,,City, ,In,0,Intermediate,0
-108.52847442,39.0847495360001,101,S130,Orchard Avenue east of 28 ¼ Road,Bench,39.08474954,-108.52847442,713771.9306556,4329089.28040606,RT3,38,:55,N, , ,Yes,40,Yes,1899/12/30 05:55:01+00,1899/12/30 05:55:01+00,City, ,In,0,Intermediate,0
-108.528341848,39.084595822,102,S131,Orchard Avenue east of 28 ¼ Road (Columbine Park),Bench,39.08459582,-108.52834185,713783.86309477,4329072.53116288,RT3,13,:25 - :35,S, , ,Yes,40,No,,,City, ,Out,0,Intermediate,180
-108.52484978,39.0847506530001,103,S140,Orchard Avenue west of 28 ½ Road,No,39.08475065,-108.52484978,714085.47694758,4329097.94330154,RT3,37,:45 - :55,N, , ,Yes,40,No,,,City, ,In,0,Intermediate,0
-108.524157548,39.0846083480001,104,S141,Orchard Avenue east of 28 ½ Road,Bench,39.08460835,-108.52415755,714145.78907382,4329083.78044888,RT3,14,:25 - :35,S, , ,Yes,40,No,,,City, ,Out,0,Intermediate,180
-108.520249689,39.0846727430001,105,S134,Orchard Avenue west of 28 ¾ Road,No,39.08467274,-108.52024969,714483.64437496,4329100.15066672,RT3,36,:45 - :55,N, , ,Yes,40,No,,,County, ,In,0,Intermediate,0
-108.520243745,39.084566169,106,S337,Orchard Avenue west of 28 ¾ Road,No,39.08456617,-108.52024375,714484.48150833,4329088.33559005,RT3,15,:25 - :35,S, , ,Yes,40,No,,,County, ,Out,0,Intermediate,180
-108.564332948,39.071119266,107,S179,5th Street north of Grand Avenue (Central Library) ,Bench/Shelter,39.07111927,-108.56433295,710710.56227569,4327492.61088381,RT7,3,:15 - :25,E, ,Yes,Yes,30,No,,,City, ,Out,0,Intermediate,90
-108.564371184,39.075874211,108,S180,5th Street north of Teller Avenue,No,39.07587421,-108.56437118,710693.10419103,4328020.2892416,RT7,4,:15 - :25,E, , ,Yes,30,No,,,City, ,Out,0,Intermediate,90
-108.566241269,39.072963003,109,S182,4th Street south of Gunnison Avenue,Bench,39.072963,-108.56624127,710539.96978304,4327692.82844654,RT7,37,:55 - :05,W, , ,Yes,30,No,,,City, ,In,0,Intermediate,-90
-108.558446658,39.084675652,110,S191,Orchard Avenue west of 9th Street,No,39.08467565,-108.55844666,711179.40796332,4329010.951579,RT3,44,:55 - :05,N, , ,Yes,40,No,,,City,No,In,0,Intermediate,0
-108.566246548,39.066968026,111,S229,4th Street south of Main Street (Wells Fargo Bank),Bench,39.06696803,-108.56624655,710557.33794392,4327027.4144626,RT7,39,:55 - :05,W, , ,Yes,30,No,,,City, ,In,0,Intermediate,-90
-108.566258301,39.0708896940001,112,S246,4th Street north of Grand Avenue (Chamber of Commerce),Bench,39.07088969,-108.5662583,710544.66106081,4327462.66564735,RT7,38,:55 - :05,W, , ,Yes,30,No,,,City, ,In,0,Intermediate,-90
-108.564354913,39.067750953,113,S248,5th Street north of Main Street,Bench,39.06775095,-108.56435491,710718.68453497,4327118.70006537,RT7,2,:15 - :25,E, , ,Yes,30,No,,,City, ,Out,0,Intermediate,90
